Albuquerque	145.3450929557023
Anaheim	141.51273906387618
Anchorage	137.1220930432788
Arlington	138.73945444586943
Atlanta	131.65642451952453
Aurora	142.75248127915788
Austin	132.60408452733768
Bakersfield	161.23649522246268
Baltimore	156.49340127482046
Baton Rouge	119.81787145769262
Birmingham	155.6257510290213
Boise	133.10594092878486
Boston	149.3477114146493
Buffalo	151.36331901110765
Chandler	138.45104669887954
Charlotte	140.8891628723659
Chesapeake	126.01324570984995
Chicago	143.987699751811
Chula Vista	154.27169483785102
Cincinnati	138.93915538161602
Cleveland	142.5428537604933
Colorado Springs	147.71172149778783
Columbus	145.85802787650312
Corpus Christi	136.14973333375002
Dallas	150.3669649995422
Denver	131.75789394411845
Detroit	161.7455390324594
Durham	142.39908782621163
El Paso	148.8158396141409
Fort Wayne	146.92928446392597
Fort Worth	136.54708244694683
Fremont	142.47995030660783
Fresno	138.7720317645508
Garland	139.71421210973577
Gilbert	155.15909990485252
Glendale	143.65659012593756
Greensboro	144.62625963897423
Henderson	151.34910490242945
Hialeah	141.05769200276933
Honolulu	130.3829632315035
Houston	128.6529002561596
Indianapolis	141.1445948683236
Irvine	132.5267733551304
Irving	146.97156362747245
Jacksonville	147.61008376981718
Jersey City	135.39498749068719
Kansas City	141.38134186139234
Laredo	138.54838402024765
Las Vegas	142.42174246226793
Lexington	146.0608014802665
Lincoln	135.74102036280445
Long Beach	142.41495727008464
Los Angeles	152.48411580801718
Louisville	133.3036119502645
Lubbock	133.51517474482273
Madison	156.9346874220347
Memphis	145.71775180926636
Mesa	126.01482729693548
Miami	141.80640207329705
Milwaukee	148.30083910229206
Minneapolis	124.69916611617774
Nashville	150.68843593089244
Newark	141.96817538090374
New Orleans	151.54711210487113
New York	130.32713538591446
Norfolk	148.19389867608498
North Las Vegas	153.35706320205765
Oakland	134.07896999590446
Oklahoma City	144.56295341130803
Omaha	144.089783944006
Orlando	150.35562356551588
Philadelphia	129.63529767058648
Phoenix	142.50264718875385
Pittsburgh	164.63736102997285
Plano	136.1595386539305
Portland	147.55963286731745
Raleigh	141.99276657082692
Reno	139.49446783103286
Richmond	140.37503703979266
Riverside	143.96643678975138
Rochester	142.13705515733866
Sacramento	161.18058180983755
Saint Paul	147.11601037914446
San Antonio	132.91933952377855
San Bernardino	139.69625528988422
San Diego	142.80943668392774
San Francisco	137.69783515409097
San Jose	126.5931084286975
Santa Ana	151.95798878988413
Scottsdale	147.41207013656205
Seattle	154.09873118794158
Spokane	139.5084257465734
St. Louis	137.13754505777027
Stockton	141.3717068016926
St. Petersburg	130.59613603107837
Tampa	131.59487643630803
Toledo	143.9328396617901
Tucson	140.91887223529005
Tulsa	131.89277782158138
Virginia Beach	129.79800733750892
Washington	123.89578081081326
Wichita	136.08202099615914
Winston–Salem	126.2571490687481
